Название вакансии,название компании,зарплата,ссылка на вакансию
Системный аналитик,АО ИнфоТеКС,Не указана,https://tomsk.hh.ru/vacancy/128330507?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
"Программист (Java, C++/C, Swift, Python, C#)",ИП Гордеева Надежда Алексеевна,Не указана,https://tomsk.hh.ru/vacancy/128422379?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Разработчик партнер в стартап,ИП Гибадулин Наиль Тахирович,Не указана,https://tomsk.hh.ru/vacancy/128542991?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Веб-разработчик,ООО САХАЛИННИПИ НЕФТИ И ГАЗА,Не указана,https://tomsk.hh.ru/vacancy/127498620?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Специалист по тестированию ПО,АО Научно-производственная фирма Микран,Не указана,https://tomsk.hh.ru/vacancy/128604637?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист,АО Научно-производственная фирма Микран,Не указана,https://tomsk.hh.ru/vacancy/128511790?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист (в офисе),ОГБУЗ Городская клиническая больница №1,Не указана,https://tomsk.hh.ru/vacancy/127526806?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,ООО Газпром питание,Не указана,https://tomsk.hh.ru/vacancy/128602062?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,"ЛАМА, Группа компаний",Не указана,https://tomsk.hh.ru/vacancy/110191921?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Web - разработчик (Junior),ООО Интрайс,Не указана,https://tomsk.hh.ru/vacancy/128440256?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
